Pb7U5,err%,Pb6U8,err%,rho
2.50186,1.50178,0.21623,1.16886,0.77832
2.64901,1.45329,0.2274,1.18605,0.81611
2.60506,1.59199,0.22254,1.29873,0.81579
2.65455,1.46122,0.22607,1.06308,0.72753
2.51558,1.43217,0.21402,1.04143,0.72717
2.80586,1.31385,0.23392,1.14556,0.87191
2.44171,1.59496,0.2035,1.34374,0.8425
2.83915,1.26067,0.23295,0.9448,0.74945
3.01963,1.08762,0.24642,0.88134,0.81036
3.03544,1.57177,0.24752,1.40535,0.89412
3.04222,1.41666,0.24794,1.18748,0.83822
3.05839,2.59824,0.24885,2.09419,0.80601
3.01122,1.14302,0.24446,0.94469,0.82649
3.12816,1.18252,0.25362,0.9983,0.84422
3.01534,1.0808,0.24442,0.94841,0.87751
2.95394,1.27788,0.23927,0.99925,0.78195
3.07211,1.35988,0.24879,1.16452,0.85634
3.05559,1.50393,0.24725,1.29147,0.85873
2.95089,1.47987,0.2384,1.09631,0.74081
3.19995,1.2223,0.25818,1.00541,0.82256
3.08763,1.33381,0.24896,1.17176,0.87851
3.02052,1.32297,0.24341,1.16662,0.88182
3.12688,1.40215,0.2519,1.24261,0.88622
3.10583,1.69902,0.2502,1.26833,0.74651
3.11618,1.44235,0.25102,1.24141,0.86068
3.12027,1.58527,0.25126,1.4099,0.88937
3.04564,1.2697,0.24498,0.95363,0.75105
3.05659,1.73605,0.24557,1.52177,0.87657
3.08729,1.34211,0.24786,1.16439,0.86758
3.02427,1.77226,0.24258,1.36173,0.76836
3.01748,1.30419,0.24194,0.97838,0.75018
3.1198,1.15318,0.25009,0.94714,0.82134
3.25199,1.09255,0.26067,0.91645,0.83883
3.0995,1.31755,0.24837,1.14771,0.8711
3.06005,1.61529,0.24483,1.38853,0.85961
3.00845,1.28474,0.2405,1.08386,0.84364
3.12013,1.4871,0.24923,1.14138,0.76752
3.07781,1.30297,0.2458,1.09116,0.83744
3.11846,1.11522,0.24895,0.90347,0.81013
3.01657,1.63746,0.24077,1.45633,0.88939
3.02754,1.82571,0.24161,1.68113,0.92081
3.07998,1.39857,0.24567,1.18457,0.84699
2.98223,1.18519,0.23785,0.93963,0.79279
3.10465,1.2202,0.2473,0.99005,0.81138
3.07,1.35205,0.24422,1.15315,0.85289
3.19316,1.15925,0.25399,0.87023,0.75069
3.14408,1.25645,0.25002,1.00127,0.7969
3.08614,1.5106,0.2454,1.38869,0.9193
3.15358,1.33188,0.25014,1.0829,0.81306
3.02055,1.53868,0.23941,1.33909,0.87028
3.27912,1.10621,0.25985,0.91899,0.83075
3.09826,1.44728,0.24526,1.25854,0.86959
3.27584,1.22067,0.25892,0.83798,0.68651
3.06633,1.20329,0.24228,0.95613,0.7946
3.18517,1.25789,0.25148,0.89582,0.71215
3.1857,1.37,0.25133,0.9482,0.69211
3.13135,1.34043,0.24655,1.08388,0.80861
3.1589,1.14626,0.24822,0.99968,0.87212
3.24402,1.3927,0.25356,1.17877,0.84639
3.26052,1.47497,0.2542,1.05415,0.71469
3.34397,1.07061,0.25866,0.78613,0.73426
3.2317,1.43284,0.24993,1.21088,0.84509
3.38946,1.07948,0.26211,0.78822,0.73017
3.52078,1.58618,0.26291,1.14877,0.72424
4.04593,1.30273,0.29548,1.08536,0.83314
4.1507,1.18709,0.30226,1.04051,0.87652
3.88409,1.33892,0.28202,1.17141,0.87489
4.04298,1.2505,0.2905,1.00638,0.80478
3.98083,1.38108,0.28476,1.13089,0.81884
4.24284,1.38436,0.29763,1.09025,0.78755
4.28621,1.37105,0.29985,1.00868,0.7357
4.20082,1.63689,0.29043,1.40998,0.86138
4.55411,1.63278,0.30945,1.40693,0.86168
4.16229,1.26038,0.2818,0.99517,0.78959
4.55059,1.56101,0.3059,1.34453,0.86132
5.56649,1.20408,0.33538,0.97808,0.8123
5.95443,1.07643,0.35564,0.93173,0.86557
5.72488,1.24216,0.33749,0.99861,0.80393
7.20976,1.30916,0.39369,0.9874,0.75423
14.07864,1.49449,0.51336,1.31654,0.88093
16.22932,1.34726,0.59003,1.15554,0.8577
